"serverTime","source","sign","sourceTime","logLevel","process","message"
"Tue Jan 23 2018 18:09:42 GMT-0500 (EST)","sign","ashmont-bat","Tue Jan 23 2018 18:09:42 GMT-0500 (EST)","3","helper/input/inputLoop","Failed to read data"
"Tue Jan 23 2018 18:09:46 GMT-0500 (EST)","server","server","Tue Jan 23 2018 18:09:46 GMT-0500 (EST)","2","nextbusHandlers.parseDepartures","Failed: TypeError: Cannot read property '12' of undefined"
"Tue Jan 23 2018 18:09:46 GMT-0500 (EST)","sign","ashmont-bat","Tue Jan 23 2018 18:09:46 GMT-0500 (EST)","3","helper/input/inputLoop","Failed to read data"
"Thu Jan 25 2018 10:09:35 GMT-0500 (EST)","server","server","Thu Jan 25 2018 10:09:35 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Thu Jan 25 2018 10:09:35 GMT-0500 (EST)","server","server","Thu Jan 25 2018 10:09:35 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Thu Jan 25 2018 10:13:12 GMT-0500 (EST)","server","ashmont-bat","Thu Jan 25 2018 10:13:12 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 20:22:34 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:22:34 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 20:22:34 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:22:34 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 20:26:34 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:26:34 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 20:26:34 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:26:34 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 20:41:55 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:41:55 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 20:41:55 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:41:55 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
"Tue Mar 06 2018 20:45:29 GMT-0500 (EST)","server","foresthillsV3","Tue Mar 06 2018 20:45:29 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
"Tue Mar 06 2018 20:49:55 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:49:55 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Tue Mar 06 2018 20:49:55 GMT-0500 (EST)","server","server","Tue Mar 06 2018 20:49:55 GMT-0500 (EST)","4","server.start","Server started, configuration sharpie"
