"serverTime","source","sign","sourceTime","logLevel","process","message"
"Sun Jan 29 2017 16:41:56 GMT-0500 (EST)","server","server","Sun Jan 29 2017 16:41:56 GMT-0500 (EST)","4","sampleHandlers","starting new samples/samples.json"
"Sun Jan 29 2017 16:41:56 GMT-0500 (EST)","server","server","Sun Jan 29 2017 16:41:56 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun Jan 29 2017 16:41:56 GMT-0500 (EST)","server","server","Sun Jan 29 2017 16:41:56 GMT-0500 (EST)","4","server.start","Server started"
"Sun Jan 29 2017 17:36:34 GMT-0500 (EST)","server","server","Sun Jan 29 2017 17:36:34 GMT-0500 (EST)","4","sampleHandlers","starting new samples/samples.json"
"Sun Jan 29 2017 17:36:34 GMT-0500 (EST)","server","server","Sun Jan 29 2017 17:36:34 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun Jan 29 2017 17:36:34 GMT-0500 (EST)","server","server","Sun Jan 29 2017 17:36:34 GMT-0500 (EST)","4","server.start","Server started"
"Sun Jan 29 2017 17:38:28 GMT-0500 (EST)","sign","10pp-charles","Sun Jan 29 2017 17:38:28 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sun Jan 29 2017 17:39:58 GMT-0500 (EST)","sign","10pp-charles","Sun Jan 29 2017 17:39:58 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sun Jan 29 2017 17:41:28 GMT-0500 (EST)","sign","10pp-charles","Sun Jan 29 2017 17:41:28 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sun Jan 29 2017 17:42:58 GMT-0500 (EST)","sign","10pp-charles","Sun Jan 29 2017 17:42:58 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sun Jan 29 2017 17:44:28 GMT-0500 (EST)","sign","10pp-charles","Sun Jan 29 2017 17:44:28 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sun Jan 29 2017 17:45:58 GMT-0500 (EST)","sign","10pp-charles","Sun Jan 29 2017 17:45:58 GMT-0500 (EST)","3","lampControl","Lamp check failed"
"Sun Jan 29 2017 17:53:41 GMT-0500 (EST)","server","server","Sun Jan 29 2017 17:53:41 GMT-0500 (EST)","4","sampleHandlers","starting new samples/samples.json"
"Sun Jan 29 2017 17:53:41 GMT-0500 (EST)","server","server","Sun Jan 29 2017 17:53:41 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun Jan 29 2017 17:53:41 GMT-0500 (EST)","server","server","Sun Jan 29 2017 17:53:41 GMT-0500 (EST)","4","server.start","Server started"
"Sun Jan 29 2017 17:57:09 GMT-0500 (EST)","server","10pp-charles","Sun Jan 29 2017 17:57:09 GMT-0500 (EST)","4","checkHeartbeat","First heartbeat from existing sign"
