"serverTime","source","sign","sourceTime","logLevel","process","message"
"Mon Feb 13 2017 17:42:24 GMT-0500 (EST)","server","server","Mon Feb 13 2017 17:42:24 GMT-0500 (EST)","4","sampleHandlers","starting new samples/samples.json"
"Mon Feb 13 2017 17:42:24 GMT-0500 (EST)","server","server","Mon Feb 13 2017 17:42:24 GMT-0500 (EST)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Mon Feb 13 2017 17:42:24 GMT-0500 (EST)","server","server","Mon Feb 13 2017 17:42:24 GMT-0500 (EST)","4","server.start","Server started"
