"serverTime","source","sign","sourceTime","logLevel","process","message"
"Mon Apr 17 2017 07:43:50 GMT-0400 (EDT)","server","10pp-charles-v1","Mon Apr 17 2017 07:43:50 GMT-0400 (EDT)","2","checkHeartbeat","No heartbeat (uptime was for 8 hours)"
"Mon Apr 17 2017 08:56:35 GMT-0400 (EDT)","server","server","Mon Apr 17 2017 08:56:35 GMT-0400 (EDT)","5","logUptimes","Up for 10 hours"
"Mon Apr 17 2017 08:56:35 GMT-0400 (EDT)","server","10pp-charles-v1","Mon Apr 17 2017 08:56:35 GMT-0400 (EDT)","5","logUptimes","DOWN for 1 hour"
"Mon Apr 17 2017 10:34:22 GMT-0400 (EDT)","sign","dudley-a","Mon Apr 17 2017 10:34:22 GMT-0400 (EDT)","3","helper/input/inputLoop","Failed to read data"
"Sun May 14 2017 17:43:49 GMT-0400 (EDT)","server","server","Sun May 14 2017 17:43:49 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun May 14 2017 17:43:49 GMT-0400 (EDT)","server","server","Sun May 14 2017 17:43:49 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Sun May 14 2017 17:48:04 GMT-0400 (EDT)","server","server","Sun May 14 2017 17:48:04 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun May 14 2017 17:48:04 GMT-0400 (EDT)","server","server","Sun May 14 2017 17:48:04 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Sun May 14 2017 17:52:34 GMT-0400 (EDT)","server","10pp-charles-v1","Sun May 14 2017 17:52:34 GMT-0400 (EDT)","4","checkHeartbeat","First heartbeat from existing sign"
"Sun May 14 2017 17:54:30 GMT-0400 (EDT)","server","10pp-charles-v2","Sun May 14 2017 17:54:30 GMT-0400 (EDT)","4","checkHeartbeat","First heartbeat from existing sign"
"Sun May 14 2017 17:59:37 GMT-0400 (EDT)","server","server","Sun May 14 2017 17:59:37 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun May 14 2017 17:59:37 GMT-0400 (EDT)","server","server","Sun May 14 2017 17:59:37 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Sun May 14 2017 18:01:11 GMT-0400 (EDT)","server","10pp-charles-v2","Sun May 14 2017 18:01:11 GMT-0400 (EDT)","4","checkHeartbeat","First heartbeat from existing sign"
"Sun May 14 2017 18:02:35 GMT-0400 (EDT)","server","10pp-charles-v1","Sun May 14 2017 18:02:35 GMT-0400 (EDT)","4","checkHeartbeat","First heartbeat from existing sign"
"Sun May 28 2017 16:27:38 GMT-0400 (EDT)","server","server","Sun May 28 2017 16:27:38 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun May 28 2017 16:27:38 GMT-0400 (EDT)","server","server","Sun May 28 2017 16:27:38 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Sun May 28 2017 17:50:33 GMT-0400 (EDT)","server","server","Sun May 28 2017 17:50:33 GMT-0400 (EDT)","4","sampleHandlers","starting new speechsamples/speechsamples.json"
"Sun May 28 2017 17:50:33 GMT-0400 (EDT)","server","server","Sun May 28 2017 17:50:33 GMT-0400 (EDT)","4","server.start","Server started, configuration sharpie"
"Sun May 28 2017 18:13:46 GMT-0400 (EDT)","server","undefined","Sun May 28 2017 18:13:46 GMT-0400 (EDT)","4","fileRequestHandlers.serveStatic","Could not find file ./public/update/always"
